en,fr,it,de,es,ko,kana,pt
—,Coup de Bourse,-,-,—,-,―,—
Stench,Puanteur,Tanfo,Duftnote,Hedor,악취,あくしゅう,Stench
Drizzle,Crachin,Piovischio,Niesel,Llovizna,잔비,あめふらし,Drizzle
Speed Boost,Turbo,Acceleratore,Temposchub,Impulso,가속,かそく,Speed Boost
Battle Armor,Armurbaston,Lottascudo,Kampfpanzer,Armadura Batalla,전투무장,カブトアーマー,Battle Armor
Sturdy,Fermeté,Vigore,Robustheit,Robustez,옹골참,がんじょう,Sturdy
Damp,Moiteur,Umidità,Feuchtigkeit,Humedad,습기,しめりけ,Damp
Limber,Échauffement,Scioltezza,Flexibilität,Flexibilidad,유연,じゅうなん,Limber
Sand Veil,Voile Sable,Sabbiavelo,Sandschleier,Velo Arena,모래숨기,すながくれ,Sand Veil
Static,Statik,Statico,Statik,Elec. Estática,정전기,せいでんき,Static
Volt Absorb,Absorbe-Volt,Assorbivolt,Voltabsorber,Absorbe Elec,축전,ちくでん,Volt Absorb
Water Absorb,Absorbe-Eau,Assorbacqua,H2O-Absorber,Absorbe Agua,저수,ちょすい,Water Absorb
Oblivious,Benêt,Indifferenza,Dösigkeit,Despiste,둔감,どんかん,Oblivious
Cloud Nine,Ciel Gris,Antimeteo,Wolke Sieben,Aclimatación,날씨부정,ノーてんき,Cloud Nine
Compound Eyes,Œil Composé,Insettocchi,Facettenauge,Ojo Compuesto,복안,ふくがん,Compound Eyes
Insomnia,Insomnia,Insonnia,Insomnia,Insomnio,불면,ふみん,Insomnia
Color Change,Homochromie,Cambiacolore,Farbwechsel,Cambio Color,변색,へんしょく,Color Change
Immunity,Vaccin,Immunità,Immunität,Inmunidad,면역,めんえき,Immunity
Flash Fire,Torche,Fuocardore,Feuerfänger,Absorbe Fuego,타오르는불꽃,もらいび,Flash Fire
Shield Dust,Écran Poudre,Polvoscudo,Puderabwehr,Polvo Escudo,인분,りんぷん,Shield Dust
Own Tempo,Tempo Perso,Mente Locale,Tempomacher,Ritmo Propio,마이페이스,マイペース,Own Tempo
Suction Cups,Ventouse,Ventose,Saugnapf,Ventosas,흡반,きゅうばん,Suction Cups
Intimidate,Intimidation,Prepotenza,Bedroher,Intimidación,위협,いかく,Intimidate
Shadow Tag,Marque Ombre,Pedinombra,Wegsperre,Sombra Trampa,그림자밟기,かげふみ,Shadow Tag
Rough Skin,Peau Dure,Cartavetro,Rauhaut,Piel Tosca,까칠한피부,さめはだ,Rough Skin
Wonder Guard,Garde Mystik,Magidifesa,Wunderwache,Superguarda,불가사의부적,ふしぎなまもり,Wonder Guard
Levitate,Lévitation,Levitazione,Schwebe,Levitación,부유,ふゆう,Levitate
Effect Spore,Pose Spore,Spargispora,Sporenwirt,Efecto Espora,포자,ほうし,Effect Spore
Synchronize,Synchro,Sincronismo,Synchro,Sincronía,싱크로,シンクロ,Synchronize
Clear Body,Corps Sain,Corpochiaro,Neutraltorso,Cuerpo Puro,클리어바디,クリアボディ,Clear Body
Natural Cure,Médic Nature,Alternacura,Innere Kraft,Cura Natural,자연회복,しぜんかいふく,Natural Cure
Lightning Rod,Paratonnerre,Parafulmine,Blitzfänger,Pararrayos,피뢰침,ひらいしん,Lightning Rod
Serene Grace,Sérénité,Leggiadro,Edelmut,Dicha,하늘의은총,てんのめぐみ,Serene Grace
Swift Swim,Glissade,Nuotovelox,Wassertempo,Nado Rápido,쓱쓱,すいすい,Swift Swim
Chlorophyll,Chlorophylle,Clorofilla,Chlorophyll,Clorofila,엽록소,ようりょくそ,Chlorophyll
Illuminate,Lumiattirance,Risplendi,Erleuchtung,Iluminación,발광,はっこう,Illuminate
Trace,Calque,Traccia,Erfassen,Rastro,트레이스,トレース,Trace
Huge Power,Coloforce,Macroforza,Kraftkoloss,Potencia,천하장사,ちからもち,Huge Power
Poison Point,Point Poison,Velenopunto,Giftdorn,Punto Tóxico,독가시,どくのトゲ,Poison Point
Inner Focus,Attention,Forza Interiore,Konzentrator,Foco Interno,정신력,せいしんりょく,Inner Focus
Magma Armor,Armumagma,Magmascudo,Magmapanzer,Escudo Magma,마그마의무장,マグマのよろい,Magma Armor
Water Veil,Ignifu-Voile,Idrovelo,Aquahülle,Velo Agua,수의베일,みずのベール,Water Veil
Magnet Pull,Magnépiège,Magnetismo,Magnetfalle,Imán,자력,じりょく,Magnet Pull
Soundproof,Anti-Bruit,Antisuono,Lärmschutz,Insonorizar,방음,ぼうおん,Soundproof
Rain Dish,Cuvette,Copripioggia,Regengenuss,Cura Lluvia,젖은접시,あめうけざら,Rain Dish
Sand Stream,Sable Volant,Sabbiafiume,Sandsturm,Chorro Arena,모래날림,すなおこし,Sand Stream
Pressure,Pression,Pressione,Erzwinger,Presión,프레셔,プレッシャー,Pressure
Thick Fat,Isograisse,Grassospesso,Speckschicht,Sebo,두꺼운지방,あついしぼう,Thick Fat
Early Bird,Matinal,Sveglialampo,Frühwecker,Madrugar,일찍기상,はやおき,Early Bird
Flame Body,Corps Ardent,Corpodifuoco,Flammkörper,Cuerpo Llama,불꽃몸,ほのおのからだ,Flame Body
Run Away,Fuite,Fugafacile,Angsthase,Fuga,도주,にげあし,Run Away
Keen Eye,Regard Vif,Sguardofermo,Adlerauge,Vista Lince,날카로운눈,するどいめ,Keen Eye
Hyper Cutter,Hyper Cutter,Ipertaglio,Scherenmacht,Corte Fuerte,괴력집게,かいりきバサミ,Hyper Cutter
Pickup,Ramassage,Raccolta,Mitnahme,Recogida,픽업,ものひろい,Pickup
Truant,Absentéisme,Pigrone,Schnarchnase,Ausente,게으름,なまけ,Truant
Hustle,Agitation,Tuttafretta,Übereifer,Entusiasmo,의욕,はりきり,Hustle
Cute Charm,Joli Sourire,Incantevole,Charmebolzen,Gran Encanto,헤롱헤롱바디,メロメロボディ,Cute Charm
Plus,Plus,Più,Plus,Más,플러스,プラス,Plus
Minus,Moins,Meno,Minus,Menos,마이너스,マイナス,Minus
Forecast,Météo,Previsioni,Prognose,Predicción,기분파,てんきや,Forecast
Sticky Hold,Glu,Antifurto,Klebekörper,Viscosidad,점착,ねんちゃく,Sticky Hold
Shed Skin,Mue,Muta,Expidermis,Mudar,탈피,だっぴ,Shed Skin
Guts,Cran,Dentistretti,Adrenalin,Agallas,근성,こんじょう,Guts
Marvel Scale,Écaille Spéciale,Pelledura,Notschutz,Escama Especial,이상한비늘,ふしぎなうろこ,Marvel Scale
Liquid Ooze,Suintement,Melma,Kloakensoße,Lodo Líquido,해감액,ヘドロえき,Liquid Ooze
Overgrow,Engrais,Erbaiuto,Notdünger,Espesura,심록,しんりょく,Overgrow
Blaze,Brasier,Aiutofuoco,Großbrand,Mar Llamas,맹화,もうか,Blaze
Torrent,Torrent,Acquaiuto,Sturzbach,Torrente,급류,げきりゅう,Torrent
Swarm,Essaim,Aiutinsetto,Hexaplaga,Enjambre,벌레의알림,むしのしらせ,Swarm
Rock Head,Tête de Roc,Testadura,Steinhaupt,Cabeza Roca,돌머리,いしあたま,Rock Head
Drought,Sécheresse,Siccità,Dürre,Sequía,가뭄,ひでり,Drought
Arena Trap,Piège Sable,Trappoarena,Ausweglos,Trampa Arena,개미지옥,ありじごく,Arena Trap
Vital Spirit,Esprit Vital,Spiritovivo,Munterkeit,Espíritu Vital,의기양양,やるき,Vital Spirit
White Smoke,Écran Fumée,Fumochiaro,Pulverrauch,Humo Blanco,하얀연기,しろいけむり,White Smoke
Pure Power,Force Pure,Forzapura,Mentalkraft,Energía Pura,순수한힘,ヨガパワー,Pure Power
Shell Armor,Coque Armure,Guscioscudo,Panzerhaut,Caparazón,조가비갑옷,シェルアーマー,Shell Armor
Air Lock,Air Lock,Riparo,Klimaschutz,Bucle Aire,에어록,エアロック,Air Lock
Tangled Feet,Pieds Confus,Intricopiedi,Fußangel,Tumbos,갈지자걸음,ちどりあし,Tangled Feet
Motor Drive,Motorisé,Elettrorapid,Starthilfe,Electromotor,전기엔진,でんきエンジン,Motor Drive
Rivalry,Rivalité,Antagonismo,Rivalität,Rivalidad,투쟁심,とうそうしん,Rivalry
Steadfast,Impassible,Cuordeciso,Felsenfest,Impasible,불굴의마음,ふくつのこころ,Steadfast
Snow Cloak,Rideau Neige,Mantelneve,Schneemantel,Manto Níveo,눈숨기,ゆきがくれ,Snow Cloak
Gluttony,Gloutonnerie,Voracità,Völlerei,Gula,먹보,くいしんぼう,Gluttony
Anger Point,Colérique,Grancollera,Kurzschluss,Irascible,분노의경혈,いかりのつぼ,Anger Point
Unburden,Délestage,Agiltecnica,Entlastung,Liviano,곡예,かるわざ,Unburden
Heatproof,Ignifugé,Antifuoco,Hitzeschutz,Ignífugo,내열,たいねつ,Heatproof
Simple,Simple,Disinvoltura,Wankelmut,Simple,단순,たんじゅん,Simple
Dry Skin,Peau Sèche,Pellearsa,Trockenheit,Piel Seca,건조피부,かんそうはだ,Dry Skin
Download,Télécharge,Download,Download,Descarga,다운로드,ダウンロード,Download
Iron Fist,Poing de Fer,Ferropugno,Eisenfaust,Puño Férreo,철주먹,てつのこぶし,Iron Fist
Poison Heal,Soin Poison,Velencura,Aufheber,Antídoto,포이즌힐,ポイズンヒール,Poison Heal
Adaptability,Adaptabilité,Adattabilità,Anpassung,Adaptable,적응력,てきおうりょく,Adaptability
Skill Link,Multi-Coups,Abillegame,Wertelink,Encadenado,스킬링크,スキルリンク,Skill Link
Hydration,Hydratation,Idratazione,Hydration,Hidratación,촉촉바디,うるおいボディ,Hydration
Solar Power,Force Soleil,Solarpotere,Solarkraft,Poder Solar,선파워,サンパワー,Solar Power
Quick Feet,Pied Véloce,Piedisvelti,Rasanz,Pies Rápidos,속보,はやあし,Quick Feet
Normalize,Normalise,Normalità,Regulierung,Normalidad,노말스킨,ノーマルスキン,Normalize
